kelime,anlam,kategori,altkategori,misal_1,misal_2,misal_3,chapter
sık sık,often,zarf,zaman,sık sık seni düşünüyorum,,,
bol bol,plenty,zarf,zaman,bol bol çalışıyorum,,,
bazen,sometimes,zarf,zaman,bazen bira içerim,,,
her zaman,always,zarf,zaman,her zaman çalışıyor,,,
genellikle,usually,zarf,zaman,genellikle evdeyim,,,
nadirden,rarely,zarf,zaman,nadirden bulunur,,,
nadire,rarely,zarf,zaman,nadire bulunur,,,
hiç,never,zarf,zaman,hiç gitmem,,,
hiçbir zaman,never,zarf,zaman,hiçbir zaman gitmem,,,
bir kere,once,zarf,zaman,bir kere geldi,,,
şimdi,now,zarf,zaman,şimdi gidiyorum,,,
dün,yesterday,zarf,zaman,dün geldi,,,
yarın,tomorrow,zarf,zaman,yarın geliyor,,,
gece,night,zarf,zaman,gece uyurum,,,
sabah,morning,zarf,zaman,sabah kalkarım,,,
öğlen,noon,zarf,zaman,öğlen yemek yerim,,,
akşam,evening,zarf,zaman,akşam yemek yerim,,,
şimdiye kadar,until now,zarf,zaman,şimdiye kadar gelmedi,,,
hemen,immediately,zarf,zaman,hemen gel,,,
sonra,after,zarf,zaman,sonra gel,,,
sonraki,next,zarf,zaman,sonraki gün,,,
gelecek,future,isim,,,,,
son,final,zarf,zaman,son gün,,,
önce,before,zarf,zaman,önce gel,,,
önceki,previous,zarf,zaman,önceki gün,,,
geç,late,zarf,zaman,geç kaldım,,,
geçen,past,zarf,zaman,geçen gün,,,
erken,early,zarf,zaman,erken kalkarım,,,
erkenden,soon,zarf,zaman,erkenden kalkarım,,,
yakında,soon,zarf,zaman,yakında gel,,,
gençlik,youth,isim,,,,,
düğün,wedding,isim,,,,,
nişan,engagement,isim,,,,,
geveze,talkative,sıfat,,,,,
gösteri,show,isim,,,,,
harçlık,pocket money,isim,,,,,
harf,letter,isim,,,,,
hazırlık,preparation,isim,,,,,
hece,syllable,isim,,,,,
ilginç,interesting,sıfat,,,,,
kaza,accident,isim,,,,,
kurum,institution,isim,,,,,
kutlama,celebration,isim,,,,,
kutlamak,to celebrate,fiil,,,,,
kültür,culture,isim,,,,,
marş,anthem,isim,,,,,
mevsim,season,isim,,,,,
mezuniyet,graduation,isim,,,,,
milli,national,sıfat,,,,,
mola,break,isim,,,,,
nice,good,sıfat,,,,,
nikah,wedding,isim,,,,,
odun,wood,isim,,,,,
ömür,lifetime,isim,,,,,
özel,special,sıfat,,,,,
özgür,free,sıfat,,,,,
özgürlük,freedom,isim,,,,,
resmi,official,sıfat,,,,,
resmi,formal,sıfat,,,,,
saygıdeğer,respectable,sıfat,,,,,
son kullanma tarihi,expiration date,isim,,,,,
ulusal,national,sıfat,,,,,
ücret,fee,isim,,,,,
ücretsiz,free,sıfat,,,,,
vakit,time,isim,,,,,
vatan,homeland,isim,,,,,
yabancı,foreign,sıfat,,,,,
yılbaşı,new year,isim,,,,,
yıl dönümü,anniversary,isim,,,,,
yüzük,ring,isim,,,,,
zafer,victory,isim,,,,,
zorluk,difficulty,isim,,,,,
kuş,bird,isim,hayvan,kuşlar uçar,,,
köpek,dog,isim,hayvan,köpekler havlar,,,
kedi,cat,isim,hayvan,kediler miyavlar,,,
at,horse,isim,hayvan,atlar koşar,,,
inek,cow,isim,hayvan,inekler süt verir,,,
koyun,sheep,isim,hayvan,koyunlar otlar,,,
keçi,goat,isim,hayvan,keçiler otlar,,,
tavuk,chicken,isim,hayvan,tavuklar yumurtlar,,,
ördek,duck,isim,hayvan,ördekler yüzer,,,
kaz,goose,isim,hayvan,kazlar uçar,,,
balık,fish,isim,hayvan,balıklar yüzer,,,
yılan,snake,isim,hayvan,yılanlar sürünür,,,
kaplumbağa,turtle,isim,hayvan,kaplumbağalar yürür,,,
dışarı,outside,sıfat,yön,dışarı gel,,,
içeri,inside,sıfat,yön,içeri gel,,,
zit,opposite,sıfat,yön,zit yönde,,,
uzak,far,sıfat,yön,uzak yer,,,
yakın,near,sıfat,yön,yakın yer,,,
üst,top,sıfat,yön,üst kat,,,
alt,bottom,sıfat,yön,alt kat,,,
ön,front,sıfat,yön,ön kapı,,,
arka,back,sıfat,yön,arka kapı,,,
sağ,right,sıfat,yön,sağ kapı,,,
sol,left,sıfat,yön,sol kapı,,,
güney,south,sıfat,yön,güney kapı,,,
kuzey,north,sıfat,yön,kuzey kapı,,,
doğu,east,sıfat,yön,doğu kapı,,,
batı,west,sıfat,yön,batı kapı,,,
iç,inside,sıfat,yön,iç kapı,,,
içeri,inside,sıfat,yön,,,,
dış,outside,sıfat,yön,dış kapı,,,
karşı,opposite,sıfat,yön,karşı kapı,,,
karşıt,opposite,sıfat,yön,karşıt yönde,,,
aynı,same,sıfat,karşılaştırmak,aynı renk,,,
farklı,different,sıfat,karşılaştırmak,farklı renk,,,
benzer,similar,sıfat,karşılaştırmak,benzer renk,,,
eşit,equal,sıfat,karşılaştırmak,eşit renk,,,
iyi,good,sıfat,karşılaştırmak,iyi insan,,,
kötü,bad,sıfat,karşılaştırmak,kötü insan,,,
güzel,beautiful,sıfat,karşılaştırmak,güzel insan,,,
çirkin,ugly,sıfat,karşılaştırmak,çirkin insan,,,
büyük,big,sıfat,karşılaştırmak,büyük ev,,,
küçük,small,sıfat,karşılaştırmak,küçük ev,,,
uzun,long,sıfat,karşılaştırmak,uzun yol,,,
kısa,short,sıfat,karşılaştırmak,kısa yol,,,
geniş,wide,sıfat,karşılaştırmak,geniş yol,,,
dar,narrow,sıfat,karşılaştırmak,dar yol,,,
yumuşak,soft,sıfat,karşılaştırmak,yumuşak yatak,,,
sert,hard,sıfat,karşılaştırmak,sert yatak,,,
sıcak,hot,sıfat,karşılaştırmak,sıcak su,,,
soğuk,cold,sıfat,karşılaştırmak,soğuk su,,,
temiz,clean,sıfat,karşılaştırmak,temiz ev,,,
kirli,dirty,sıfat,karşılaştırmak,kirli ev,,,
güçlü,strong,sıfat,karşılaştırmak,güçlü adam,,,
zayıf,weak,sıfat,karşılaştırmak,zayıf adam,,,
sağlıklı,healthy,sıfat,karşılaştırmak,zayıf adam,,,
hızlı,fast,sıfat,karşılaştırmak,hızlı araba,,,
yavaş,slow,sıfat,karşılaştırmak,yavaş araba,,,
gürültülü,noisy,sıfat,karşılaştırmak,gürültülü ev,,,
sessiz,quiet,sıfat,karşılaştırmak,sessiz ev,,,
meşgul,busy,sıfat,karşılaştırmak,meşgul adam,,,
