cumle,anlam,kategori,altkategori
keyfin yerinde mi?,everything good?,selamlar,argo
özel bir şey yok,nothing special,selamlar,argo
bana anlamasız geliyor,it doesn't make sense to me,selamlar,argo
yemek yemeden önce kitap okuduk,we read a book before eating,dilbilgisi,zaman
durakta on beş dakika bekledikten sonra otobüs geldi,the bus came after we waited for fifteen minutes at the bus stop,dilbilgisi,zaman
allah senin belanı versin,curse you,,
allah seni kahretsin,curse you,,
beş paralık adam,worthless person,,
kendine özel göstermek,show off,,
Ahşap masayı boyamak çok zevkliydi,Painting the wooden table was very enjoyable.,,
Belediye başkanı yeni parkın açılışını yaptı,The mayor inaugurated the new park.,,
Çadırda uyumak çok rahat,Sleeping in a tent is very comfortable.,,
Dürüst olmak her zaman en iyisidir,Being honest is always the best.,,
Geleneklerimizi korumak önemlidir,It is important to preserve our traditions.,,
Hayal kurmak özgürleştiricidir,Dreaming is liberating.,,
İcat etmek insanlık için büyük bir adım,Inventing is a big step for humanity.,,
Kaban giymek soğuk havalarda zorunludur,Wearing a coat is essential in cold weather.,,
Kazak örmek büyük sabır gerektirir,Knitting a sweater requires great patience.,,
Nehir kenarında yürüyüş yapmak keyiflidir,Walking along the river is enjoyable.,,
Padişahın emri yerine getirildi,The sultan's order was fulfilled.,,
Sağanak yağmurda şemsiyesiz yürümek zor,Walking in a downpour without an umbrella is hard.,,
Satılık evler listede,Houses for sale are on the list.,,
Savaş sırasında insanlar büyük acılar çekti,People suffered greatly during the war.,,
Semt pazarında taze meyve almak mümkün,It is possible to buy fresh fruit at the neighborhood market.,,
Sisli havada sörf yapmak tehlikeli olabilir,Surfing in foggy weather can be dangerous.,,
Şelale manzarası harikaydı,The waterfall view was wonderful.,,
Tapınak tarihi eserlerle doluydu,The temple was filled with historical artifacts.,,
Tarla işleri çok yorucudur,Farm work is very tiring.,,
Torunumla parkta oyun oynadık,I played games with my grandson in the park.,,
Tur rehberi çok bilgiliydi,The tour guide was very knowledgeable.,,
Tuş takımında sorun var,There is a problem with the keypad.,,
Valiz hazırlamak tatil öncesi heyecan verici,Packing a suitcase is exciting before a holiday.,,
Vize almak zor bir süreç olabilir,Getting a visa can be a difficult process.,,
Yanardağ patlaması tehlikeliydi,The volcano eruption was dangerous.,,
Yoğunluk nedeniyle trafik durdu,Traffic stopped due to congestion.,,
Yoğun sis nedeniyle uçuşlar iptal oldu,Flights were canceled due to heavy fog.,,
Yosun kaplı taşlar kaygandı,The moss-covered stones were slippery.,,
Aniden karar değiştirdi,He changed his mind suddenly.,,
İzleyici kitlesi oldukça büyüktü,The audience was quite large.,,
arkasinda konusuyorlar
